fecha,afluencia
2013-05-09,5281032
2013-05-10,4438057
2013-05-11,3856702
2013-05-12,2524140
2013-05-13,4936712
2013-05-14,5143642
2013-05-15,5106468
2013-05-16,5196296
2013-05-17,5395395
2013-05-18,4153180
2013-05-19,2700683
2013-05-20,5110665
2013-05-21,5143321
2013-05-22,5224535
2013-05-23,5176440
2013-05-24,5274142
2013-05-25,4097335
2013-05-26,2615805
2013-05-27,4912998
2013-05-28,5152465
2013-05-29,5156641
2013-05-30,5165011
2013-05-31,5378935
2013-06-01,4316326
2013-06-02,2926190
2013-06-03,5027971
2013-06-04,5041917
2013-06-05,5206829
2013-06-06,5174012
2013-06-07,5247534
2013-06-08,4295340
2013-06-09,2587145
2013-06-10,4940324
2013-06-11,4945624
2013-06-12,5084256
2013-06-13,4967678
2013-06-14,5109909
2013-06-15,4260989
2013-06-16,2637903
2013-06-17,4954606
2013-06-18,4998137
2013-06-19,5059275
